,n1964,n1965,n1966,n1967,n1968,n1969,n1970,n1971,n1972,n1973,n1974,n1975,n1976,n1977,n1978,n1979,n1980,n1981,n1982,n1983,n1984,n1985,n1986,n1987,n1988,n1989,n1990,n1991,n1992,n1993,n1994,n1995,n1996,n1997,n1998,n1999,n2000,n2001,n2002,n2003,n2004,n2005,n2006,n2007,n2008,n2009,n2010,n2011,n2012,n2013,n2014,n2015,n2016,n2017,n2018
32,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0.258823529,,,0,0,,,0,0,0,0,0,0,,,0,,1,0,0,0,0,,0,0,0
33,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,0,,,0,0,0,0,0,0,,,0,,,0,0,0,0.001769912,,0,0
34,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,0,,,0,0,0,,0,0,,,0,,,0,0,0,0,,0
35,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,0,,,0,0,0,,0,0,,,0,,,0,0,0,0,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,0,,,0,0,0,,0,0,,,0,,,0,0,0,0
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,0,,,0,0.204545455,0,,0,0,,,0,,,0,0,0
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,1,,0,,,1,0,,,0,0,0,,0,0,,,0,,,0,0
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0.094202899,,,,0,,,0,0,0,,0,0,,,0,,,0
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,,0,,,0,0,0,,0,0,,,0,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,,0,,,0,0,0,,0,0,,,0,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,,0,,,0,0,0,,0,0,,,0
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,,0,,,0,0,0,,0,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,,0,,,0,0,0,,0,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,,0,,,0,0,0,,0,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,,0,,,0,0,0,,0
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,,0,,,0,0,0,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,,0,,,0,0,0
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,0,,,,0,,,0,0
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,0,,,0
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,0,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,0,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,0
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
